Class,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,lbp0,lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9
AU,15434,21,29,6,13,28,210,29,14,92,9092,4373,1470,534,223,90,56,23,11,4,5694,5313,2615,1287,614,224,86,26,7,10,0.4070588235054671,0.07941176470121107,0.031176470586401384,0.08882352940653979,0.10176470587636678,0.005294117646747405,0.08470588234795848,0.131176470580519,0.061176470584636676,0.009411764705328719
AU,15794,0,0,0,0,1,42,23,0,16,11959,2873,720,230,50,25,12,6,0,1,3586,5118,3753,2058,890,328,108,24,7,4,0.3517505470267095,0.08588621443731476,0.02024070021771112,0.06728665207509373,0.08260393872633458,0.009846827132940545,0.07494529540071415,0.21553610502103193,0.08041575491901445,0.011487964988430636
AU,14491,439,231,62,121,83,310,25,30,84,10613,3292,1242,426,154,78,44,16,9,2,7526,4021,2076,1180,596,272,114,66,17,8,0.382799325442226,0.10905002809954749,0.02304665542310024,0.05508712759667863,0.15008431702360403,0.03372681281429304,0.057335581784298165,0.13940415963241123,0.04159640247096141,0.007869589656668376
AU,14769,172,170,41,92,75,375,29,35,118,11260,3107,889,322,150,78,40,10,12,8,7270,4527,2121,1004,513,291,89,51,8,2,0.41591987346252396,0.1154454401626017,0.0374275171303412,0.05851344227419539,0.10701107010506003,0.018977332629468775,0.07274644174629696,0.1201897733199689,0.03795466525893755,0.015814443857890645
AU,15762,25,4,2,1,0,53,7,0,22,10568,3762,987,347,124,46,28,10,2,2,3649,5426,3560,1872,825,342,120,55,19,8,0.3664259927577361,0.0860409145555932,0.021058965101019317,0.0800240673838734,0.0986762936162048,0.007821901323235746,0.07821901323235746,0.184717208171798,0.07099879662629369,0.006016847171719805
AU,15726,0,0,0,0,0,76,24,0,50,10468,3782,1025,353,137,67,31,8,4,1,4669,5585,3012,1506,666,301,81,48,6,2,0.3924336532810596,0.10163749293610178,0.031055900619364432,0.07509881422500854,0.09994353472050008,0.007905138339474583,0.08243929982594922,0.139469226417873,0.056465273853389876,0.01355166572481357
AU,15774,0,0,0,0,0,45,19,0,38,8006,5137,1710,602,242,94,47,23,11,4,6693,5333,2278,983,391,130,39,15,5,9,0.38258426964142783,0.06910112359162353,0.022471910111097084,0.09831460673604973,0.11404494381381769,0.0061797752805516975,0.09887640448882716,0.13426966291380507,0.06516853932218154,0.008988764044438833
AU,15844,0,0,0,0,0,21,5,0,6,11197,3161,950,338,127,57,22,16,5,3,5423,4915,2642,1439,786,366,206,80,16,3,0.3766564729675506,0.126911314978241,0.03160040774558612,0.08511722731472389,0.08919469928189629,0.02089704383175856,0.07492354739679288,0.14067278286744786,0.03771661569634472,0.01630988786868961
AU,15702,0,0,0,0,0,90,29,0,55,7983,4923,1727,722,296,135,56,28,5,1,3707,4779,3460,2123,1090,482,161,47,20,7,0.3727097396155878,0.10655737704404257,0.030858244935831333,0.08100289295655724,0.06750241079713104,0.008196721311080197,0.08534233365065852,0.15959498552750268,0.061716489871662665,0.02651880424173005
AU,15685,25,4,4,13,26,77,12,10,20,13129,2185,409,88,28,11,15,4,5,2,3194,5068,3858,2169,1017,411,116,28,10,5,0.3831578947166759,0.09736842104750693,0.04684210526069252,0.12842105262481993,0.07368421052243768,0.0021052631577839335,0.08789473683747923,0.13315789472983378,0.033684210524542936,0.013684210525595568
